"Format is <NodeID>,<NodeName>,<AdjNode>,<Distance>"
1,-,2,2.23607
1,-,3,3
1,-,43,0.707107
1,-,42,2.06155
1,-,44,3.5
2,-,1,2.23607
2,-,3,2.82843
2,-,4,2.06155
2,-,9,1.80278
3,-,1,3
3,-,2,2.82843
3,-,5,3.53553
3,-,40,2.06155
3,-,41,1.11803
4,-,2,2.06155
4,-,7,2.5
4,-,9,2.23607
5,-,3,3.53553
5,-,6,6.0208
5,-,7,4.24264
6,-,5,6.0208
6,-,8,2.69258
6,-,37,2
6,-,39,4.47214
7,-,4,2.5
7,-,8,4.12311
7,-,20,1.58114
8,-,6,2.69258
8,-,7,4.12311
8,-,22,2.23607
9,-,2,1.80278
9,-,4,2.23607
9,-,10,2.69258
9,-,11,1.11803
10,-,1,5.70088
10,-,9,2.69258
10,-,11,3
11,-,9,1.11803
11,-,10,3
11,-,12,3.60555
12,-,4,1.80278
12,-,9,2.69258
12,-,11,3.60555
12,-,13,2.5
13,-,12,2.5
13,-,14,2.5
13,-,15,3.20156
14,-,11,4.74342
14,-,12,1.58114
14,-,13,2.5
15,-,13,3.20156
15,-,14,2
16,-,15,1.80278
17,-,16,2.23607
18,-,17,2.23607
18,-,19,2.23607
19,-,18,2.23607
19,-,20,2.5
20,-,7,1.58114
20,-,13,1.5
20,-,19,2.5
20,-,21,1.5
21,-,20,1.5
21,-,22,1.5
21,-,23,1.11803
22,-,7,2
22,-,8,2.23607
22,-,20,2.12132
22,-,21,1.5
23,-,21,1.11803
23,-,22,2.23607
23,-,24,1.11803
24,-,23,1.11803
24,-,25,1.80278
24,-,28,3.53553
25,-,19,2.06155
25,-,24,1.80278
26,-,25,1.5
27,-,18,1.58114
28,-,24,3.53553
28,-,26,4
29,-,23,2.23607
29,-,24,2.5
29,-,28,2.5
30,-,8,2.82843
30,-,29,2.23607
30,-,31,1.11803
31,-,30,1.11803
31,-,32,2.06155
32,-,29,1.58114
32,-,30,2.54951
33,-,31,3
34,-,35,4
34,-,36,3.20156
35,-,34,4
36,-,34,3.20156
36,-,35,3.20156
37,-,36,2
39,-,6,4.47214
40,-,3,2.06155
40,-,5,4.92443
41,-,3,1.11803
41,-,40,3.16228
41,-,42,2.91548
42,-,1,2.06155
42,-,41,2.91548
42,-,43,1.80278
43,-,1,0.707107
43,-,3,2.54951
43,-,41,1.5
44,-,1,3.5
44,-,2,4.92443
44,-,10,5.85235
44,-,42,3.60555
45,-,10,3.20156
45,-,11,2.06155
